PomBase:SPAC3F10.09
PomBase:SPAC977.08
PomBase:SPAC23D3.11
PomBase:SPBC428.14
PomBase:SPAC1851.02
PomBase:SPAC1783.02c
PomBase:SPAC922.03
PomBase:SPAC343.19
PomBase:SPAC22E12.16c
PomBase:SPBC577.06c
PomBase:SPBC3E7.01
PomBase:SPAC19G12.14
PomBase:SPAC8E11.02c
PomBase:SPAC17A2.13c
PomBase:SPBC336.02
PomBase:SPBC32H8.04c
PomBase:SPBC16C6.07c
PomBase:SPBC4.07c
PomBase:SPCC576.10c
PomBase:SPCC1682.16
PomBase:SPAC3A11.12c
PomBase:SPBC23G7.12c
PomBase:SPBP19A11.03c
PomBase:SPAC637.10c
PomBase:SPBC16G5.01
PomBase:SPBC342.04
PomBase:SPCC16A11.16c
PomBase:SPBC17D11.07c
PomBase:SPBC119.01
PomBase:SPAC1420.03
PomBase:SPAPB8E5.02c
PomBase:SPAC23G3.11
PomBase:SPBC582.07c
PomBase:SPCC1682.10
PomBase:SPAC607.05
PomBase:SPAC31G5.13
PomBase:SPAC6B12.04c
PomBase:SPBPB2B2.09c
PomBase:SPBC725.04
PomBase:SPBC3E7.16c
PomBase:SPBC146.12
PomBase:SPAC25B8.13c
PomBase:SPBC3H7.03c
PomBase:SPAC25H1.02
PomBase:SPACUNK4.15
PomBase:SPBC646.16
PomBase:SPCC1442.06
PomBase:SPAC13C5.01c
PomBase:SPBC106.16
PomBase:SPAC323.02c
PomBase:SPAC6G10.04c
PomBase:SPCC1795.04c
PomBase:SPBC4C3.10c
PomBase:SPAC23D3.07
PomBase:SPCC63.12c
PomBase:SPAC31A2.04c
PomBase:SPAC4A8.13c
PomBase:SPAC22F8.06
PomBase:SPBC577.10
PomBase:SPAC27D7.08c
PomBase:SPBP35G2.02
PomBase:SPAC2H10.02c
PomBase:SPBC3F6.02c
PomBase:SPCC162.09c
PomBase:SPAC4F8.14c
PomBase:SPBC1105.15c
PomBase:SPBC19C2.15c
PomBase:SPAC4H3.08
PomBase:SPAC9E9.03
PomBase:SPBC1A4.02c
PomBase:SPBC1709.07
PomBase:SPAC5H10.09c
PomBase:SPAC7D4.09c
PomBase:SPAC3G9.02
PomBase:SPBC887.13c
PomBase:SPAC922.06
PomBase:SPBC23E6.06c
PomBase:SPAC637.09
PomBase:SPAC2C4.07c
PomBase:SPCC1753.04
PomBase:SPAC27D7.04
PomBase:SPBC19G7.02
PomBase:SPCC1223.02
PomBase:SPAC19D5.07
PomBase:SPBC15D4.15
PomBase:SPBC685.06
PomBase:SPAPJ698.02c
PomBase:SPBP22H7.08
PomBase:SPAC31G5.17c
PomBase:SPAC31G5.03
PomBase:SPAC144.11
PomBase:SPBC1685.02c
PomBase:SPCC962.04
PomBase:SPAC6F6.07c
PomBase:SPBC18H10.13
PomBase:SPAC3H5.05c
PomBase:SPCC1393.03
PomBase:SPAC1071.07c
PomBase:SPAC22A12.04c
PomBase:SPAC5D6.01
PomBase:SPAC664.04c
PomBase:SPBC18H10.14
PomBase:SPCC24B10.09
PomBase:SPBC839.05c
PomBase:SPBC16D10.11c
PomBase:SPCC1259.01c
PomBase:SPBC21C3.13
PomBase:SPBC649.02
PomBase:SPCC576.08c
PomBase:SPCC576.09
PomBase:SPBC18E5.06
PomBase:SPAC23C11.02c
PomBase:SPBP4H10.13
PomBase:SPBC17G9.07
PomBase:SPAC17G6.06
PomBase:SPBC3D6.15
PomBase:SPAC694.05c
PomBase:SPAC806.03c
PomBase:SPAC1805.11c
PomBase:SPBC1685.10
PomBase:SPAC25G10.06
PomBase:SPCC285.15c
PomBase:SPBC1685.09
PomBase:SPBC16G5.14c
PomBase:SPAC19B12.04
PomBase:SPBC19G7.03c
PomBase:SPAC13G6.02c
PomBase:SPAC22H12.04c
PomBase:SPAC959.07
PomBase:SPBC19F8.08
PomBase:SPBC21B10.10
PomBase:SPAC328.10c
PomBase:SPAC8C9.08
PomBase:SPAPB1E7.12
PomBase:SPAC13G6.07c
PomBase:SPAC18G6.14c
PomBase:SPAC2C4.16c
PomBase:SPAC521.05
PomBase:SPBC29A3.12
PomBase:SPAC24H6.07
PomBase:SPBC21C3.10c
PomBase:SPAC2F3.09
PomBase:SPBC1703.08c
PomBase:SPAC11D3.14c
PomBase:SPAC11D3.15
PomBase:SPBC887.14c
PomBase:SPAC26A3.12c
PomBase:SPAC20H4.05c
PomBase:SPAC9.06c
PomBase:SPAC17G6.03
PomBase:SPAC144.17c
PomBase:SPAC222.13c
PomBase:SPAPB17E12.14c
PomBase:SPBC16H5.02
PomBase:SPCC16C4.10
PomBase:SPBC409.13
PomBase:SPBP8B7.06
PomBase:SPAC1071.08
PomBase:SPBC23G7.15c
PomBase:SPCC18.14c
PomBase:SPBC18E5.04
PomBase:SPAP7G5.05
PomBase:SPBC30D10.18c
PomBase:SPCC1183.08c
PomBase:SPBC17G9.10
PomBase:SPAC26A3.07c
PomBase:SPCC31H12.04c
PomBase:SPCC16C4.13c
PomBase:SPAC664.05
PomBase:SPBC839.13c
PomBase:SPAC23A1.11
PomBase:SPBC2G2.05
PomBase:SPAC1805.13
PomBase:SPAC1783.08c
PomBase:SPCC576.11
PomBase:SPBC2F12.04
PomBase:SPCC364.03
PomBase:SPAPB17E12.13
PomBase:SPBC11C11.07
PomBase:SPBC56F2.02
PomBase:SPCC1682.14
PomBase:SPAC3A12.10
PomBase:SPAC26A3.04
PomBase:SPBC365.03c
PomBase:SPAC959.08
PomBase:SPAC11E3.15
PomBase:SPAC3G9.03
PomBase:SPCC1322.11
PomBase:SPCC330.14c
PomBase:SPAC6G9.09c
PomBase:SPBC4F6.04
PomBase:SPBC106.18
PomBase:SPBC29B5.03c
PomBase:SPCC74.05
PomBase:SPBC685.07c
PomBase:SPCC5E4.07
PomBase:SPBC776.11
PomBase:SPAC1687.06c
PomBase:SPBC776.01
PomBase:SPAC17A5.03
PomBase:SPAPB8E5.06c
PomBase:SPAC9G1.03c
PomBase:SPAC1250.05
PomBase:SPAC890.08
PomBase:SPAC3H5.10
PomBase:SPBC16C6.11
PomBase:SPAC23A1.08c
PomBase:SPCC1322.15
PomBase:SPCC613.05c
PomBase:SPBC1921.01c
PomBase:SPCP31B10.08c
PomBase:SPCC970.05
PomBase:SPBC405.07
PomBase:SPAC15E1.03
PomBase:SPAPB17E12.05
PomBase:SPCC1223.05c
PomBase:SPBC800.04c
PomBase:SPBC83.02c
PomBase:SPBC577.02
PomBase:SPAC30D11.12
PomBase:SPCC663.04
PomBase:SPBC1711.06
PomBase:SPBP8B7.03c
PomBase:SPAC3F10.18c
PomBase:SPAC3G6.13c
PomBase:SPAC3H5.12c
PomBase:SPBC11C11.09c
PomBase:SPCC622.18
PomBase:SPBC29A3.04
PomBase:SPAC3H5.07
PomBase:SPBC2F12.07c
PomBase:SPBC839.04
PomBase:SPAC1F7.13c
PomBase:SPAC4G9.16c
PomBase:SPCC613.06
PomBase:SPAC3C7.08c
PomBase:SPBC29A3.09c
PomBase:SPAC1565.08
PomBase:SPBC947.01
PomBase:SPCC553.03
PomBase:SPAC2G11.06
PomBase:SPAC9E9.12c
PomBase:SPAPB24D3.09c
PomBase:SPBC15C4.02
PomBase:SPBC2D10.18
PomBase:SPBC56F2.12
PomBase:SPBP35G2.07
PomBase:SPBC14C8.04
PomBase:SPAC22F3.04
PomBase:SPAC56F8.02
PomBase:SPBC215.09c
PomBase:SPAC1952.09c
PomBase:SPCC191.02c
PomBase:SPCC1827.03c
PomBase:SPBC1271.14
PomBase:SPAC56E4.04c
PomBase:SPBC725.14
PomBase:SPCC777.09c
PomBase:SPBC4.06
PomBase:SPBC887.01
PomBase:SPAC24C9.06c
PomBase:SPBC32H8.12c
PomBase:SPAC9G1.05
PomBase:SPAC23C4.02
PomBase:SPBC11G11.02c
PomBase:SPAPJ696.02
PomBase:SPBC31F10.07
PomBase:SPAC25G10.09c
PomBase:SPAC20G4.06c
PomBase:SPAC15A10.16
PomBase:SPBP23A10.08
PomBase:SPCC550.12
PomBase:SPBC15D4.13c
PomBase:SPCC1281.06c
PomBase:SPAC13G7.05
PomBase:SPCP1E11.05c
PomBase:SPAC3A12.08
PomBase:SPAPB2B4.06
PomBase:SPBC31F10.02
PomBase:SPBC26H8.11c
PomBase:SPAC4A8.10
PomBase:SPBC1711.12
PomBase:SPBC1289.14
PomBase:SPBC359.06
PomBase:SPBC1683.02
PomBase:SPBC1198.02
PomBase:SPAC23A1.03
PomBase:SPCC1442.14c
PomBase:SPBC106.04
PomBase:SPCC338.14
PomBase:SPBC8D2.18c
PomBase:SPBC19C7.03
PomBase:SPAC4G9.03
PomBase:SPBC14F5.09c
PomBase:SPAC144.03
PomBase:SPCC306.09c
PomBase:SPAC1782.11
PomBase:SPBP35G2.12
PomBase:SPBC31F10.06c
PomBase:SPBC4F6.18c
PomBase:SPBC1539.08
PomBase:SPBC115.02c
PomBase:SPAPB24D3.03
