#Gene systematic ID	dummy1	dummy2	FYPO ID
SPBC1D7.05			FYPO:0000825
SPBC1D7.05			FYPO:0004361
SPCC4G3.08			FYPO:0000705
SPCC4G3.08			FYPO:0001838
SPCC4G3.08			FYPO:0002672
SPCC1840.02c			FYPO:0000005
SPCC1840.02c			FYPO:0000164
SPCC1840.02c			FYPO:0000417
SPCC1840.02c			FYPO:0001970
SPCC1840.02c			FYPO:0001969
SPCC1840.02c			FYPO:0001406
SPCC1840.02c			FYPO:0000224
SPCC1840.02c			FYPO:0004893
SPCC1840.02c			FYPO:0001367
SPCC1840.02c			FYPO:0001192
SPCC1840.02c			FYPO:0001357
SPCC1840.02c			FYPO:0001964
SPCC1840.02c			FYPO:0005152
SPCC1840.02c			FYPO:0005150
SPCC1840.02c			FYPO:0001963
SPCC1840.02c			FYPO:0001965
SPCC1840.02c			FYPO:0005151
SPCC1840.02c			FYPO:0001190
SPCC1840.02c			FYPO:0002060
SPBC216.02			FYPO:0000927
SPBC216.02			FYPO:0007171
SPBC15D4.14			FYPO:0001317
SPAC806.07			FYPO:0001998
SPBC646.06c			FYPO:0000155
SPBP8B7.28c			FYPO:0001645
SPAC1834.04			FYPO:0000266
SPAC1834.04			FYPO:0000267
SPCC188.07			FYPO:0002019
SPCC417.06c			FYPO:0001914
SPCC417.06c			FYPO:0003561
SPCC417.06c			FYPO:0003066
SPCC417.06c			FYPO:0006058
SPCC417.06c			FYPO:0004952
SPCC417.06c			FYPO:0001309
SPCC417.06c			FYPO:0006053
SPCC417.06c			FYPO:0006003
SPCC417.06c			FYPO:0002167
SPCC417.06c			FYPO:0000107
SPCC417.06c			FYPO:0001234
SPCC417.06c			FYPO:0000346
SPCC417.06c			FYPO:0002060
SPCC417.06c			FYPO:0002177
SPAC18G6.01c			FYPO:0006680
SPAC18G6.01c			FYPO:0002060
SPAC18G6.01c			FYPO:0002177
SPBC1718.01			FYPO:0001001
SPBC27B12.11c			FYPO:0006657
SPBC27B12.11c			FYPO:0000082
SPBC27B12.11c			FYPO:0000080
SPAC15E1.08			FYPO:0002667
SPBC29B5.01			FYPO:0004059
SPAC1556.01c			FYPO:0006677
SPAC1556.01c			FYPO:0001645
SPAC1556.01c			FYPO:0001355
SPAC1556.01c			FYPO:0000085
SPAC1556.01c			FYPO:0000088
SPAC1556.01c			FYPO:0000267
SPAC18G6.02c			FYPO:0004604
SPAC18G6.02c			FYPO:0004742
SPBC6B1.09c			FYPO:0001355
SPBC6B1.09c			FYPO:0000085
SPBC6B1.09c			FYPO:0000088
SPBC6B1.09c			FYPO:0000089
SPBC6B1.09c			FYPO:0002344
SPBC6B1.09c			FYPO:0000268
SPCC1322.02			FYPO:0002797
SPCC1322.02			FYPO:0004102
SPCC1322.02			FYPO:0001645
SPCC1322.02			FYPO:0007455
SPCC1322.02			FYPO:0001357
SPCC188.03			FYPO:0000214
SPCC188.03			FYPO:0002061
SPCC188.03			FYPO:0000085
SPCC188.03			FYPO:0000088
SPCC188.03			FYPO:0000268
SPBC428.08c			FYPO:0006079
SPBC428.08c			FYPO:0006518
SPBC428.08c			FYPO:0007553
SPBC119.02			FYPO:0001910
SPBC119.02			FYPO:0004198
SPBC119.02			FYPO:0003935
SPBC119.02			FYPO:0004102
SPBC119.02			FYPO:0002448
SPAC11D3.13			FYPO:0000383
SPAC11D3.13			FYPO:0002616
SPAC11D3.13			FYPO:0005231
SPAC11D3.13			FYPO:0002060
SPAC11D3.13			FYPO:0002177
SPCC757.11c			FYPO:0004806
SPCC757.11c			FYPO:0002060
SPCC757.11c			FYPO:0002177
SPAC1687.22c			FYPO:0001896
SPAC1687.22c			FYPO:0007320
SPAC1687.22c			FYPO:0002061
SPBC342.05			FYPO:0000085
SPBC342.05			FYPO:0000089
SPAC19G12.07c			FYPO:0000705
SPAPB18E9.04c			FYPO:0000151
SPBC342.05			FYPO:0000267
SPBC342.05			FYPO:0000268
SPAC57A10.12c			FYPO:0003412
SPAC27E2.05			FYPO:0002060
SPAC25H1.02			FYPO:0003743
SPAC25H1.02			FYPO:0005749
SPAC25H1.02			FYPO:0006518
SPAC25H1.02			FYPO:0007553
SPAC25H1.02			FYPO:0000088
SPAC25H1.02			FYPO:0002060
SPAC25H1.02			FYPO:0002177
SPBC25H2.13c			FYPO:0000173
SPBC25H2.13c			FYPO:0003923
SPBC25H2.13c			FYPO:0001355
SPBC25H2.13c			FYPO:0000614
SPBC25H2.13c			FYPO:0001707
SPBC25H2.13c			FYPO:0002573
SPBC25H2.13c			FYPO:0000256
SPBC25H2.13c			FYPO:0005753
SPBC25H2.13c			FYPO:0002578
SPBC25H2.13c			FYPO:0001098
SPBC25H2.13c			FYPO:0000095
SPBC25H2.13c			FYPO:0000089
SPBC25H2.13c			FYPO:0000268
SPNCRNA.400			FYPO:0005258
SPNCRNA.400			FYPO:0009024
SPNCRNA.400			FYPO:0009028
SPNCRNA.400			FYPO:0009031
SPNCRNA.400			FYPO:0002578
SPNCRNA.400			FYPO:0005266
SPBC146.09c			FYPO:0000082
SPBC146.09c			FYPO:0007339
SPBC146.09c			FYPO:0006110
SPBC1105.11c			FYPO:0000220
SPBC685.09			FYPO:0000059
SPBC685.09			FYPO:0000229
SPBC685.09			FYPO:0000314
SPBC685.09			FYPO:0003529
SPBC685.09			FYPO:0002409
SPBC685.09			FYPO:0001490
SPBC685.09			FYPO:0002061
SPBC685.09			FYPO:0003241
SPAC24H6.01c			FYPO:0002429
SPAC24H6.01c			FYPO:0000313
SPAC24H6.01c			FYPO:0002061
SPAC26A3.02			FYPO:0000705
SPCC320.13c			FYPO:0001270
SPCC320.13c			FYPO:0001355
SPCC320.13c			FYPO:0000228
SPCC320.13c			FYPO:0000085
SPCC320.13c			FYPO:0000088
SPBC146.07			FYPO:0003669
SPBC146.07			FYPO:0002061
SPBC146.07			FYPO:0000084
SPBC146.07			FYPO:0003670
SPBC146.07			FYPO:0002060
SPBC28F2.12			FYPO:0003903
SPBC25H2.02			FYPO:0002151
SPBC25H2.02			FYPO:0002061
SPAC1851.04c			FYPO:0001838
SPAC12G12.13c			FYPO:0000121
SPAC7D4.13c			FYPO:0000478
SPCC18B5.11c			FYPO:0003078
SPCC18B5.11c			FYPO:0002898
SPBC12C2.04			FYPO:0006680
SPBC12C2.04			FYPO:0006930
SPBC12C2.04			FYPO:0001234
SPBC12C2.04			FYPO:0002060
SPBC12C2.04			FYPO:0002177
SPAC27E2.05			FYPO:0000705
SPAC29B12.13			FYPO:0002060
SPAC29B12.13			FYPO:0002177
SPMTR.02			FYPO:0002224
SPMTR.02			FYPO:0000927
SPMTR.02			FYPO:0000474
SPMTR.02			FYPO:0002044
SPMTR.02			FYPO:0000583
SPMTR.02			FYPO:0001503
SPMTR.02			FYPO:0001504
SPMTR.02			FYPO:0002020
SPMTR.02			FYPO:0000760
SPMTR.02			FYPO:0001996
